"Project_ID","Nombre","Unid_Disponibles","Tiene_Portada","Tiene_Galeria","Tiene_PDF","Problemas"
"proj_alto-buzeta-mt","ALTO BUZETA (MT)","254","1","1","0","System.Object[]"
"proj_barrio-cueto","Barrio Cueto","117","0","0","0","System.Object[]"
"proj_caceres","CÃCERES","78","1","0","1","System.Object[]"
"proj_ciudad-cerrillos","Ciudad Cerrillos","9","1","1","0","System.Object[]"
"proj_ciudad-espana","Ciudad EspaÃ±a","239","1","1","0","System.Object[]"
"proj_ciudad-lyon","Ciudad Lyon","30","1","1","0","System.Object[]"
"proj_ciudad-matta","Ciudad Matta","145","1","0","1","System.Object[]"
"proj_ciudad-siete","Ciudad Siete","204","0","0","0","System.Object[]"
"proj_condominio-francisco-zelada-torre-a","CONDOMINIO FRANCISCO ZELADA TORRE A","289","1","1","0","System.Object[]"
"proj_condominio-francisco-zelada-torre-b","CONDOMINIO FRANCISCO ZELADA TORRE B","213","0","0","0","System.Object[]"
"proj_condominio-parque-del-sur-torre-a","CONDOMINIO PARQUE DEL SUR TORRE A","142","1","1","0","System.Object[]"
"proj_distrito-centro","DISTRITO CENTRO","370","0","0","0","System.Object[]"
"proj_edificio-castillo-urizar","EDIFICIO CASTILLO URIZAR","3","1","1","0","System.Object[]"
"proj_edificio-coronel-souper","EDIFICIO CORONEL SOUPER",,"1","1","0","System.Object[]"
"proj_edificio-guillermo-mann","EDIFICIO GUILLERMO MANN","25","1","1","0","System.Object[]"
"proj_edificio-lia-aguirre","EDIFICIO LIA AGUIRRE","42","1","1","0","System.Object[]"
"proj_edificio-pedro-de-la-barra","EDIFICIO PEDRO DE LA BARRA","153","1","1","0","System.Object[]"
"proj_edificio-trinidad-ramirez","EDIFICIO TRINIDAD RAMIREZ","6","1","1","0","System.Object[]"
"proj_fuenzalida-urrejola-303","Fuenzalida Urrejola 303","293","0","0","0","System.Object[]"
"proj_garden-macul","Garden Macul","5","0","0","0","System.Object[]"
"proj_general-mackenna","GENERAL MACKENNA","231","1","0","1","System.Object[]"
"proj_jardines-de-alvarado","JARDINES DE ALVARADO","262","1","0","1","System.Object[]"
"proj_jmc-608","JMC 608","262","0","0","0","System.Object[]"
"proj_lira-254","Lira 254","5","0","0","0","System.Object[]"
"proj_mapocho-2880","Mapocho 2880","230","0","0","0","System.Object[]"
"proj_matta","MATTA","96","1","0","1","System.Object[]"
"proj_mirador-mapocho","MIRADOR MAPOCHO","185","1","0","1","System.Object[]"
"proj_neoflorida-3","NeoFlorida 3","37","0","0","0","System.Object[]"
"proj_pintor-cicarelli-i-pc-i","PINTOR CICARELLI I (PC I)","292","1","0","1","System.Object[]"
"proj_pintor-cicarelli-ii","PINTOR CICARELLI II","37","1","0","1","System.Object[]"
"proj_plaza-cervantes-i","PLAZA CERVANTES I","9","1","0","1","System.Object[]"
"proj_plaza-cervantes-ii","PLAZA CERVANTES II","22","1","0","1","System.Object[]"
"proj_plaza-quilicura","PLAZA QUILICURA","67","1","0","1","System.Object[]"
"proj_santa-isabel","SANTA ISABEL","4","0","0","0","System.Object[]"
"proj_santa-rosa","SANTA ROSA","19","0","0","0","System.Object[]"
"proj_serrano-torre-a","SERRANO TORRE A","445","1","0","1","System.Object[]"
"proj_status","Status","36","0","0","0","System.Object[]"
"proj_suena-lincoyan","SueÃ±a Lincoyan","7","0","0","0","System.Object[]"
"proj_suena-marin","SueÃ±a Marin","8","0","0","0","System.Object[]"
"proj_suena-toesca","SueÃ±a Toesca","26","0","0","0","System.Object[]"
"proj_trinidad-iii","TRINIDAD III","7","1","1","0","System.Object[]"
"proj_vista-costanera","VISTA COSTANERA","55","1","0","1","System.Object[]"
"proj_vista-llacolen-a","VISTA LLACOLÃ‰N A","313","1","0","1","System.Object[]"
"proj_vista-llacolen-b2","VISTA LLACOLÃ‰N B2","90","1","0","1","System.Object[]"
"proj_vista-reloncavi","VISTA RELONCAVÃ","104","1","0","1","System.Object[]"
"proj_vistamar","VISTAMAR","312","1","0","1","System.Object[]"
